Date,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra
1/03/2002,365,241,185,166,190,123.3,190,245
1/06/2002,393.5,260,182.6,175,190,117,188.3,258
1/09/2002,413,265,198,181,195,124,190,275
1/12/2002,444,280,208,195,206,128,195,291
1/03/2003,434.5,270,225,209.4,216,145,198,300
1/06/2003,460,287.5,240,220.5,225,149,200.5,334.5
1/09/2003,480,295,269,235,236,165,214,360
1/12/2003,520,320,296.4,247.5,250,182.3,226,375
1/03/2004,523,305,302.7,250,255,200,239.5,375
1/06/2004,498,307.5,305,257.5,262,225,248.8,375
1/09/2004,500,302,305,261,259,230,245,352.5
1/12/2004,515,321,310,270,280,237.3,259,372
1/03/2005,486,310,312,270,290,240,275,374.7
1/06/2005,500,320,312,271,300,250,280,373.5
1/09/2005,490,320,314.9,275,315,245,295,365
1/12/2005,500,332,320,280,340,252.5,320,387
1/03/2006,470,330,325,280,370,260,341.5,385
1/06/2006,495,345,330,286,415,270,349.5,399.5
1/09/2006,482,346,335,290,450,270,360,413
1/12/2006,500,360,343.5,300,470,278,380,420.8
1/03/2007,480,345,352,305,475,280,389.5,430
1/06/2007,512.3,362,375,315,465,291.5,395,445
1/09/2007,514,370,390,335,475,285,400,460
1/12/2007,540,410,415,358,480,310,418.5,468
1/03/2008,495,385,425,360,470,308.5,420,470
1/06/2008,517,400,425,365,455,305,422.3,474
1/09/2008,482,385,410,360,440,292.5,430,447
1/12/2008,468,385,399,355,425,300,445,450
1/03/2009,448,375,400,353.5,439,296.5,455,459.5
1/06/2009,490,400,420,363,455,310,465,455
1/09/2009,500,422,430,370,473,310.1,490,456
1/12/2009,595,477.5,455,398.8,505,350,520,509
1/03/2010,583,468,460,402,518,350.5,529,530
1/06/2010,612.5,500,465,410,510,343.8,530,516.2
1/09/2010,598,488.3,460,400,500,340,535,530
1/12/2010,620,520,460,410,500,345,545,534.5
1/03/2011,575,485,450,400,500,338,510,530
1/06/2011,592,502.5,442,395,485,330,500,533
1/09/2011,567,487,433,390,470,335,497,490
1/12/2011,533,495,430,385,480,337.5,515,500
1/03/2012,607.5,478,430,382,489.5,343,525,512.5
1/06/2012,600,485,435,385,499,327.5,543.5,482.5
1/09/2012,585,480,435,386,495,315,540,490
1/12/2012,640,508,440,395,510,331.3,561,519
1/03/2013,615,486,440,395,520,340,530,505
1/06/2013,650,500,445,395,529,330,540,510
1/09/2013,670,520,449,395,520,325,570,505
1/12/2013,745,561,465,412,552,350,579,503.3
1/03/2014,680,504,448,407,530.5,360,595,553.7
1/06/2014,728,528.9,459,405,525,340,557.5,550
1/09/2014,730,505,451,410,530,345,570,554
1/12/2014,816,552.5,467,425,531,356.5,581,570
1/03/2015,792.5,525,462.8,415.5,536.5,360,570,585
1/06/2015,860,561,465,420,537,350,595,580
1/09/2015,888.2,580,475,427.5,520,340,580,587.5
1/12/2015,915,612.3,490,436,525,370,575,615
1/03/2016,850,568,483.5,436,518,360,570,590
1/06/2016,895,610,495,440,520,365,548,623
1/09/2016,900,605,500,445,510,370,520,615.8
1/12/2016,985.5,675,515,447,525,392,522,636
1/03/2017,930,657.5,510,451.3,510,389.5,530,654.5
1/06/2017,1050,720,518,450,506,400,500,670
1/09/2017,950,692,525,451,500,395,500,667.5
1/12/2017,1029,750,535,470,515,421,513.8,690
1/03/2018,955,731,526,465,510,449,500,698.5
1/06/2018,973.1,750,532,468,510,457.8,506,690
1/09/2018,950,720,540,466.3,495,440.8,502.5,700
1/12/2018,940,735,540,480,495,465,510,720
1/03/2019,870,685,533,475,499,471.5,485,688
1/06/2019,899,700,538,479,485,490,470,715
1/09/2019,903,710,540,473,480,480,488,676.5
1/12/2019,995,765,550,480,500,520,470,740
1/03/2020,950,732.5,541,470,480,530,465,720.5
1/06/2020,951,720,545,490,475,517.5,468.8,723.5
1/09/2020,930,700,550,495,490,507.8,599,750
